,,,rmse,rmse,rmse,rmse,rmse,mae,mae,max_error,max_error,computation_time,computation_time
,,,mean,std,min,max,count,mean,std,mean,std,mean,std
method,derivative_order,noise_level,,,,,,,,,,,
AAA,0,0.0001,0.000262,0.000117,0.000157,0.000403,6,0.000209,8.7e-05,0.000695,0.000436,0.086174,0.15466
AAA,0,0.001,0.002621,0.001166,0.00157,0.004032,6,0.002089,0.00087,0.006949,0.004361,0.011821,0.015253
AAA,0,0.005,0.013105,0.005832,0.007852,0.02016,6,0.010443,0.004351,0.034744,0.021807,0.017591,0.023411
AAA,0,0.01,0.02621,0.011663,0.015705,0.040319,6,0.020887,0.008701,0.069489,0.043614,0.012872,0.011367
AAA,0,0.05,0.131049,0.058317,0.078525,0.201595,6,0.104435,0.043507,0.347445,0.218071,0.010816,0.012864
AAA,1,0.0001,1.984461,2.971355,0.01456,6.9053,6,0.702161,1.056321,8.936177,12.966124,0.086174,0.15466
AAA,1,0.001,2.131519,2.839491,0.142757,6.864132,6,0.743582,1.020944,9.905533,12.119615,0.011821,0.015253
AAA,1,0.005,3.099265,2.196275,0.5581,6.69516,6,1.013468,0.823114,17.22446,8.962631,0.017591,0.023411
AAA,1,0.01,4.474905,3.765541,0.55599,10.897874,6,1.245693,0.751444,31.213852,38.962117,0.012872,0.011367
AAA,1,0.05,224.661941,537.044229,2.462491,1320.891696,6,32.888859,74.823989,1596.284297,3839.248279,0.010816,0.012864
AAA,2,0.0001,16.798283,17.780394,0.556391,37.84491,6,5.316232,6.280208,86.202936,97.421475,0.086174,0.15466
AAA,2,0.001,41.691339,42.520429,4.015225,117.92004,6,8.727156,6.143529,331.613048,450.101158,0.011821,0.015253
AAA,2,0.005,1279.243714,2686.653444,9.303845,6721.008903,6,160.855631,327.974025,12638.510085,26768.053506,0.017591,0.023411
AAA,2,0.01,11946.097661,27796.622685,9.905201,68635.030076,6,1224.334965,2794.826712,119750.001089,279468.564223,0.012872,0.011367
AAA,2,0.05,37552.629562,90647.307986,21.436681,222581.957924,6,5297.304636,12678.138498,268404.318331,647243.285464,0.010816,0.012864
AAA,3,0.0001,3105.721529,7233.28031,4.987969,17869.355564,6,459.975769,1004.78284,21997.433603,51744.244802,0.086174,0.15466
AAA,3,0.001,32234.585858,68814.807559,20.134143,171676.429967,6,3516.039867,7077.213469,318822.295087,692614.174232,0.011821,0.015253
AAA,3,0.005,5352861.810785,12691008.404913,189.737276,31248620.715707,6,562636.945374,1333707.126807,53752347.200965,127445891.933925,0.017591,0.023411
AAA,3,0.01,110033612.261781,266328115.527299,181.616501,653647271.030082,6,10968297.650156,26520108.14528,1105780822.659903,2676583571.955902,0.012872,0.011367
AAA,3,0.05,19061299.072356,46298834.449111,167.821644,113567597.07775,6,2673390.157905,6481184.123507,136277268.145728,330565950.194005,0.010816,0.012864
GPR,0,0.0001,0.032428,0.026554,0.000973,0.065079,6,0.024431,0.019357,0.072246,0.061017,2.410901,5.875311
